date,points,fgp,result
2016-02-27,27,.400,L (-10)
2016-02-29,26,.500,L (-7)
2016-03-02,39,.458,W (+5)
2016-03-05,36,.385,L (-8)
2016-03-06,40,.550,W (+6)
2016-03-09,29,.308,W (+14)
2016-03-11,32,.474,W (+4)
2016-03-12,12,.143,L (-16)
2016-03-14,15,.375,W (+49)
2016-03-16,33,.478,L (-16)
2016-03-18,29,.550,W (+5)
2016-03-19,25,.412,L (-12)
2016-03-22,24,.412,L (-4)
2016-03-23,26,.421,L (-2)
2016-03-25,32,.500,W (+3)
2016-03-27,34,.500,L (-3)
2016-03-29,27,.500,W (+6)
2016-03-31,24,.400,L (-3)
2016-04-03,41,.480,W (+8)
2016-04-06,26,.364,L (-2)
2016-04-07,30,.714,L (-9)
2016-04-10,40,.452,W (+20)
2016-04-11,34,.571,W (+24)
2016-04-13,38,.481,W (+35)
2016-10-26,34,.474,L (-6)
2016-10-28,26,.500,W (+8)
2016-10-30,28,.348,W (+1)
2016-11-01,41,.650,L (-8)
2016-11-02,30,.563,W (+19)
2016-11-05,30,.526,L (-15)
2016-11-07,32,.474,W (+8)
2016-11-09,24,.474,W (+2)
2016-11-12,25,.389,L (-6)
2016-11-14,33,.600,W (+27)
2016-11-16,13,.250,L (-2)
2016-11-17,26,.412,W (+17)
2016-11-19,31,.417,W (+9)
2016-11-21,28,.353,W (+3)
2016-11-23,29,.538,L (-13)
2016-11-25,23,.333,W (+13)
2016-11-27,38,.500,W (+16)
2016-11-29,26,.348,L (-19)
2016-12-01,29,.348,W (+5)
2016-12-02,20,.375,W (+18)
2016-12-05,37,.571,W (+1)
2016-12-07,25,.571,W (+39)
2016-12-09,21,.261,W (+3)
2016-12-10,18,.333,W (+22)
2016-12-12,36,.444,W (+4)
2016-12-14,15,.571,W (+34)
2016-12-16,29,.467,W (+22)
2016-12-17,28,.400,W (+2)
2016-12-20,31,.385,L (-2)
2016-12-21,27,.444,W (+14)
2016-12-23,16,.462,L (-6)
2016-12-26,32,.500,W (+16)
2016-12-27,34,.563,W (+16)
2016-12-30,30,.667,W (+24)
2016-12-31,53,.538,W (+7)
2017-01-02,23,.250,W (+10)
2017-01-05,26,.375,W (+2)
2017-01-06,14,.333,W (+7)
2017-01-08,40,.500,W (+7)
2017-01-10,40,.458,W (+7)
2017-01-11,33,.435,L (-14)
2017-01-13,27,.429,L (-5)
2017-01-15,22,.375,W (+25)
2017-01-17,40,.400,L (-6)
2017-01-18,38,.560,W (+19)
2017-01-20,17,.462,L (-17)
2017-01-21,29,.778,W (+24)
2017-01-23,26,.600,L (-13)
2017-01-25,30,.333,L (-11)
2017-01-27,51,.571,W (+5)
2017-01-29,15,.176,L (-19)
2017-01-31,10,.333,W (+22)
2017-02-02,41,.435,L (-5)
2017-02-03,42,.394,W (+4)
2017-02-07,25,.286,W (+24)
2017-02-09,30,.381,W (+12)
2017-02-11,40,.529,W (+31)
2017-02-15,38,.476,L (-8)
2017-02-23,13,.333,W (+30)
2017-02-25,24,.400,W (+12)
2017-02-27,25,.294,L (-9)
2017-03-01,26,.467,W (+19)
2017-03-04,33,.600,W (+15)
2017-03-06,39,.650,L (-2)
2017-03-08,35,.455,L (-7)
2017-03-10,19,.375,W (+21)
2017-03-12,38,.464,W (+5)
2017-03-15,18,.500,W (+39)
2017-03-17,41,.571,L (-16)
2017-03-18,40,.478,W (+4)
2017-03-20,39,.448,W (+1)
2017-03-24,38,.500,W (+10)
2017-03-26,22,.533,W (+12)
2017-03-28,24,.250,L (-7)
2017-03-30,30,.367,L (-10)
2017-03-31,17,.235,L (-9)
2017-04-05,31,.421,W (+7)
2017-04-07,33,.400,W (+6)
2017-04-09,35,.409,L (-5)
2017-04-10,14,.222,W (+7)
2017-04-12,27,.615,L (-29)
2017-10-17,27,.435,W (+1)
2017-10-18,27,.381,W (+5)
2017-10-21,29,.526,W (+16)
2017-10-23,22,.400,L (-8)
2017-10-25,27,.500,W (+1)
2017-10-27,27,.444,W (+16)
2017-10-28,20,.316,L (-14)
2017-10-30,29,.381,L (-8)
2017-11-01,31,.391,W (+22)
2017-11-03,29,.533,W (+15)
2017-11-05,56,.760,W (+27)
2017-11-09,35,.381,W (+4)
2017-11-11,38,.440,W (+15)
2017-11-12,26,.429,W (+23)
2017-11-14,38,.320,L (-16)
2017-11-16,48,.545,W (+26)
2017-11-18,29,.450,W (+22)
2017-11-22,21,.375,W (+30)
2017-11-25,37,.444,W (+15)
2017-11-27,37,.650,W (+14)
2017-11-29,29,.364,W (+21)
2017-12-03,36,.591,W (+23)
2017-12-07,29,.421,W (+11)
2017-12-09,48,.552,W (+7)
2017-12-11,26,.500,W (+7)
2017-12-13,21,.364,W (+12)
2017-12-15,28,.333,W (+15)
2017-12-16,31,.381,W (+4)
2017-12-18,26,.353,W (+21)
2017-12-20,51,.556,L (-6)
2017-12-22,51,.536,L (-10)
2017-12-25,29,.389,L (-5)
2017-12-28,34,.259,L (-1)
2017-12-29,20,.500,L (-18)
2017-12-31,40,.500,W (+6)
2018-01-18,10,.200,W (+18)
2018-01-20,22,.500,L (-10)
2018-01-22,28,.385,L (-7)
2018-01-24,25,.563,W (+9)
2018-01-26,23,.313,W (+9)
2018-01-28,27,.381,W (+17)
2018-01-30,60,.633,L (-11)
2018-02-01,28,.500,W (+18)
2018-02-03,16,.313,W (+8)
2018-02-06,36,.478,W (+9)
2018-02-07,41,.520,W (+7)
2018-02-09,28,.438,L (-2)
2018-02-11,27,.316,W (+11)
2018-02-13,34,.500,W (+7)
2018-02-14,28,.368,W (+11)
2018-02-23,31,.320,W (+32)
2018-02-25,41,.550,W (+10)
2018-02-26,26,.615,W (+8)
2018-02-28,25,.500,W (+26)
